000: <2021-08-17 : 21:18:56 - 2652> ~ <GAME> : An entity was created!
001: <2021-08-17 : 21:18:56 - 2653> ~ <GAME> : An entity was initialized!
002: <2021-08-17 : 21:19:05 - 11142> ~ <GAME> : An entity was destroyed!
not SoftwareComponent skipping
002: <2021-08-17 : 21:18:54 - 424> ~ <ENGINE> : Searching for ICD drivers named .\nvoglv32.dll
003: <2021-08-17 : 21:18:54 - 424> ~ <ENGINE> : Build ICD instance extension list
004: <2021-08-17 : 21:18:54 - 425> ~ <ENGINE> : Instance Extension: VK_KHR_device_group_creation (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
005: <2021-08-17 : 21:18:54 - 425> ~ <ENGINE> : Instance Extension: VK_KHR_display (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.23
006: <2021-08-17 : 21:18:54 - 425> ~ <ENGINE> : Instance Extension: VK_KHR_external_fence_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
007: <2021-08-17 : 21:18:54 - 425> ~ <ENGINE> : Instance Extension: VK_KHR_external_memory_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
008: <2021-08-17 : 21:18:54 - 426> ~ <ENGINE> : Instance Extension: VK_KHR_external_semaphore_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
009: <2021-08-17 : 21:18:54 - 426> ~ <ENGINE> : Instance Extension: VK_KHR_get_display_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
010: <2021-08-17 : 21:18:54 - 426> ~ <ENGINE> : Instance Extension: VK_KHR_get_physical_device_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.2
011: <2021-08-17 : 21:18:54 - 426> ~ <ENGINE> : Instance Extension: VK_KHR_get_surface_capabilities2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
012: <2021-08-17 : 21:18:54 - 426> ~ <ENGINE> : Instance Extension: VK_KHR_surface (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.25
